Id;Label;Eccentricity;Closeness Centrality;Betweenness Centrality;Degree;Weighted Degree;Component ID;Modularity Class;Clustering Coefficient;Number of triangles;Eigenvector Centrality;PageRank;Authority;Hub
1055;m137172;4.0;2.898857912323575;18158.60340156722;21;130.0;0;4;0.0;0;0.03342468617269049;5.279998201926266E-5;5.5585875E-5;5.5585875E-5
1056;m137173;4.0;3.893721011420877;0.0;1;7.0;0;1;0.0;0;0.0012031497001872456;9.922770481194763E-6;5.0532612E-6;5.0532612E-6
1057;m137178;4.0;3.738317290908184;0.0;1;1.0;0;3;0.0;0;0.0025577768040834386;7.899129207198336E-6;5.0532612E-6;5.0532612E-6
1058;m137220;4.0;3.759463368410553;38.09286046500906;3;12.0;0;6;0.0;0;0.004074885775755357;1.1067706780495206E-5;1.01065225E-5;1.01065225E-5
1059;m137238;4.0;3.6828587102887638;177.11515541903782;4;26.0;0;5;0.0;0;0.006033935818602298;1.5703345418088276E-5;1.2633153E-5;1.2633153E-5
1060;m137382;4.0;3.8514288564161387;0.0;1;5.0;0;2;0.0;0;0.001611936098666054;9.158844049162739E-6;5.0532612E-6;5.0532612E-6
1061;m137389;4.0;3.5019201037354746;462.51787048758007;5;36.0;0;0;0.0;0;0.009049872805007252;1.905928122823983E-5;1.5159784E-5;1.5159784E-5
1062;m137438;4.0;2.669742157498379;26279.623348263314;28;146.0;0;3;0.0;0;0.04798042499343101;5.545780583101935E-5;7.327229E-5;7.327229E-5
1063;m137454;4.0;3.047279437434542;7075.314609793349;11;81.0;0;4;0.0;0;0.021782881891949345;3.927372558455499E-5;3.0319568E-5;3.0319568E-5
1064;m137461;4.0;2.868734726447559;11348.46203268443;19;157.0;0;4;0.0;0;0.03562494763653135;6.120565366481815E-5;5.0532613E-5;5.0532613E-5
1065;m137474;4.0;3.8348710787491895;0.0;1;7.0;0;4;0.0;0;0.001914462447957381;9.587653654857082E-6;5.0532612E-6;5.0532612E-6
1066;m137487;4.0;3.813126527355244;36.49377336130172;2;12.0;0;1;0.0;0;0.0027036267608378183;1.1608149269953738E-5;7.579892E-6;7.579892E-6
1067;m137599;4.0;3.914168869383073;0.0;1;6.0;0;2;0.0;0;9.296151768987484E-4;9.554305551936241E-6;5.0532612E-6;5.0532612E-6
1068;m137630;4.0;3.9068874370355595;30.89983555721018;2;10.0;0;3;0.0;0;0.0011996093252512195;1.0862595716288236E-5;7.579892E-6;7.579892E-6
1069;m137639;4.0;3.911974465113959;0.0;1;4.0;0;4;0.0;0;9.966713588799574E-4;8.825940696482706E-6;5.0532612E-6;5.0532612E-6
1070;m137646;4.0;3.3823250710687747;2399.7150985584362;19;122.0;0;5;0.0;0;0.0222314343111473;4.22788929669352E-5;5.0532613E-5;5.0532613E-5
1071;m137696;4.0;3.3897062490648846;0.0;1;4.0;0;4;0.0;0;0.005171630049623922;9.747281513673633E-6;5.0532612E-6;5.0532612E-6
1072;m137701;4.0;3.018752181936063;11320.81516571996;26;163.0;0;5;0.0;0;0.037577673182860136;5.8270030146243035E-5;6.821903E-5;6.821903E-5
1073;m137725;4.0;3.3897062490648846;0.0;1;7.0;0;4;0.0;0;0.005171630049623922;1.1447329676328292E-5;5.0532612E-6;5.0532612E-6
1074;m137870;4.0;3.8268914268615033;0.0;1;6.0;0;4;0.0;0;0.0017396324399641244;9.726433799645614E-6;5.0532612E-6;5.0532612E-6
1075;m137887;4.0;2.192060246371752;262115.09472854607;164;1322.0;0;5;0.0;0;0.18529903646810209;3.9526513610244166E-4;4.1689406E-4;4.1689406E-4
